model,grid_w,grid_h,n_sensors,start_pos_name,start_x,start_y,seed,total_reward,data_collected,ndr_pct,battery_pct,energy_consumed,efficiency,steps,jains_index,min_collection_rate,mean_collection_rate,starved_sensors,trajectory_file
SmartGreedyV2,200,200,30,corner_0G,0,200,42,5260775.57,47281.0,100.0,2.0,268.5278,176.0747,1381,0.6775,5.14,51.87,7,SmartGreedyV2_200x200_n30_corner_0G_42.npy
SmartGreedyV2,200,200,30,corner_0G,0,200,123,5929565.71,53238.0,100.0,1.96,268.6389,198.1768,1403,0.847,21.26,57.49,0,SmartGreedyV2_200x200_n30_corner_0G_123.npy
SmartGreedyV2,200,200,30,corner_0G,0,200,456,4815806.77,43458.0,100.0,1.96,268.6389,161.7727,1385,0.6449,4.1,47.54,6,SmartGreedyV2_200x200_n30_corner_0G_456.npy
SmartGreedyV2,200,200,30,corner_0G,0,200,789,6048890.36,54454.0,100.0,2.0,268.5278,202.7881,1383,0.7925,8.22,59.66,4,SmartGreedyV2_200x200_n30_corner_0G_789.npy
SmartGreedyV2,200,200,30,corner_0G,0,200,1337,6054912.78,54537.0,100.0,2.0,268.5278,203.0972,1381,0.7595,7.2,59.84,6,SmartGreedyV2_200x200_n30_corner_0G_1337.npy
SmartGreedyV2,200,200,30,corner_G0,200,0,42,4888552.37,44075.0,100.0,1.95,268.6667,164.0509,1398,0.6454,3.05,47.77,7,SmartGreedyV2_200x200_n30_corner_G0_42.npy
SmartGreedyV2,200,200,30,corner_G0,200,0,123,6281653.63,56398.0,100.0,1.98,268.5833,209.9845,1401,0.8543,21.29,60.99,0,SmartGreedyV2_200x200_n30_corner_G0_123.npy
SmartGreedyV2,200,200,30,corner_G0,200,0,456,5777512.08,51927.0,100.0,1.96,268.6389,193.2963,1409,0.7887,11.09,55.84,3,SmartGreedyV2_200x200_n30_corner_G0_456.npy
SmartGreedyV2,200,200,30,corner_G0,200,0,789,4749374.73,42772.0,100.0,1.97,268.6111,159.2349,1402,0.6645,3.04,46.22,8,SmartGreedyV2_200x200_n30_corner_G0_789.npy
SmartGreedyV2,200,200,30,corner_G0,200,0,1337,4498196.34,40492.0,100.0,1.98,268.5833,150.7616,1391,0.6053,1.02,44.11,10,SmartGreedyV2_200x200_n30_corner_G0_1337.npy
SmartGreedyV2,200,200,30,corner_GG,200,200,42,4015484.75,36243.0,100.0,2.0,268.5278,134.9693,1381,0.5576,1.03,39.76,11,SmartGreedyV2_200x200_n30_corner_GG_42.npy
SmartGreedyV2,200,200,30,corner_GG,200,200,123,4195480.36,37804.0,100.0,2.0,268.5278,140.7834,1381,0.6355,4.11,41.48,8,SmartGreedyV2_200x200_n30_corner_GG_123.npy
SmartGreedyV2,200,200,30,corner_GG,200,200,456,4937511.61,44588.0,100.0,2.0,268.5278,166.048,1381,0.6488,2.06,48.92,10,SmartGreedyV2_200x200_n30_corner_GG_456.npy
SmartGreedyV2,200,200,30,corner_GG,200,200,789,4798900.55,43605.0,96.67,2.0,268.5278,162.3851,1381,0.6494,0.0,47.84,8,SmartGreedyV2_200x200_n30_corner_GG_789.npy
SmartGreedyV2,200,200,30,corner_GG,200,200,1337,3910611.86,35483.0,96.67,2.0,268.5278,132.1401,1381,0.5608,0.0,38.93,10,SmartGreedyV2_200x200_n30_corner_GG_1337.npy
SmartGreedyV2,200,200,30,random_0,112,121,42,6441822.51,57905.0,100.0,2.0,268.5278,215.6403,1381,0.9149,33.38,63.53,0,SmartGreedyV2_200x200_n30_random_0_42.npy
SmartGreedyV2,200,200,30,random_0,112,121,123,6988553.4,63163.0,100.0,2.0,268.5278,235.2211,1381,0.8918,22.75,69.3,0,SmartGreedyV2_200x200_n30_random_0_123.npy
SmartGreedyV2,200,200,30,random_0,112,121,456,6536384.82,58861.0,100.0,2.0,268.5278,219.1991,1381,0.8735,24.03,64.58,0,SmartGreedyV2_200x200_n30_random_0_456.npy
SmartGreedyV2,200,200,30,random_0,112,121,789,6845642.8,61852.0,100.0,2.0,268.5278,230.3389,1381,0.8938,33.86,67.86,0,SmartGreedyV2_200x200_n30_random_0_789.npy
SmartGreedyV2,200,200,30,random_0,112,121,1337,6876463.07,61974.0,100.0,2.0,268.5278,230.7921,1381,0.9074,34.06,67.99,0,SmartGreedyV2_200x200_n30_random_0_1337.npy
SmartGreedyV2,200,200,30,random_1,179,36,42,5642090.46,50931.0,100.0,2.0,268.5278,189.666,1387,0.7469,7.17,55.64,4,SmartGreedyV2_200x200_n30_random_1_42.npy
SmartGreedyV2,200,200,30,random_1,179,36,123,6362336.24,57056.0,100.0,1.97,268.6111,212.4104,1384,0.9032,24.63,62.46,0,SmartGreedyV2_200x200_n30_random_1_123.npy
SmartGreedyV2,200,200,30,random_1,179,36,456,6142786.9,55124.0,100.0,1.96,268.6389,205.1989,1401,0.8873,29.4,59.62,0,SmartGreedyV2_200x200_n30_random_1_456.npy
SmartGreedyV2,200,200,30,random_1,179,36,789,4765821.24,42917.0,100.0,2.0,268.5278,159.8242,1383,0.6622,6.16,47.02,9,SmartGreedyV2_200x200_n30_random_1_789.npy
SmartGreedyV2,200,200,30,random_1,179,36,1337,4867007.52,44052.0,96.67,2.0,268.5278,164.0514,1381,0.6627,0.0,48.33,5,SmartGreedyV2_200x200_n30_random_1_1337.npy
SmartGreedyV2,200,200,30,random_2,137,28,42,6822057.73,61273.0,100.0,2.0,268.5278,228.1799,1381,0.8347,11.31,67.22,3,SmartGreedyV2_200x200_n30_random_2_42.npy
SmartGreedyV2,200,200,30,random_2,137,28,123,6827835.83,61242.0,100.0,2.0,268.5278,228.0641,1381,0.9357,43.2,67.19,0,SmartGreedyV2_200x200_n30_random_2_123.npy
SmartGreedyV2,200,200,30,random_2,137,28,456,6044662.97,54288.0,100.0,1.98,268.5833,202.1287,1391,0.9128,36.06,59.13,0,SmartGreedyV2_200x200_n30_random_2_456.npy
SmartGreedyV2,200,200,30,random_2,137,28,789,5637847.88,50857.0,100.0,2.0,268.5278,189.3905,1381,0.7696,12.34,55.8,2,SmartGreedyV2_200x200_n30_random_2_789.npy
SmartGreedyV2,200,200,30,random_2,137,28,1337,6694400.01,60081.0,100.0,2.0,268.5278,223.7411,1381,0.8319,6.17,65.92,3,SmartGreedyV2_200x200_n30_random_2_1337.npy
