agent,condition,seed,grid,n_sensors,frac_sf7,frac_sf9,frac_sf11,frac_sf12,hhi,entropy,mean_sf_changes,mean_final_sf,ndr
DQN,400x400/N=40,207,400,40,0.0,0.0,0.05,0.95,0.9049999999999999,0.28639695711595625,0.0,11.95,42.5
Relational RL,400x400/N=40,207,400,40,0.0,0.0,0.2,0.8,0.6800000000000002,0.7219280948873623,30.925,11.8,77.5
TSP Oracle,400x400/N=40,207,400,40,0.0,0.025,0.075,0.9,0.81625,0.5501234060351945,41.275,11.85,97.5
DQN,400x400/N=40,208,400,40,0.0,0.0,0.075,0.925,0.8612500000000001,0.38431154412649704,0.0,11.925,52.5
Relational RL,400x400/N=40,208,400,40,0.0,0.075,0.1,0.825,0.6962499999999999,0.8414307588625516,41.45,11.675,80.0
TSP Oracle,400x400/N=40,208,400,40,0.025,0.025,0.1,0.85,0.7337499999999999,0.7975846798245739,30.35,11.7,97.5
DQN,400x400/N=40,209,400,40,0.0,0.05,0.05,0.9,0.8150000000000001,0.5689955935892812,0.0,11.8,30.0
Relational RL,400x400/N=40,209,400,40,0.0,0.1,0.2,0.7,0.5399999999999999,1.1567796494470395,56.775,11.5,85.0
TSP Oracle,400x400/N=40,209,400,40,0.0,0.05,0.125,0.825,0.69875,0.820061934555718,20.2,11.725,90.0
DQN,500x500/N=50,200,500,50,0.02,0.0,0.0,0.98,0.9607999999999999,0.14144054254182067,0.0,11.9,26.0
Relational RL,500x500/N=50,200,500,50,0.0,0.0,0.1,0.9,0.8200000000000001,0.4689955935892812,4.12,11.9,30.0
TSP Oracle,500x500/N=50,200,500,50,0.02,0.04,0.14,0.8,0.6616000000000001,0.9532840247767702,24.88,11.64,84.0
DQN,500x500/N=50,201,500,50,0.0,0.0,0.04,0.96,0.9232,0.24229218908241482,0.0,11.96,20.0
Relational RL,500x500/N=50,201,500,50,0.0,0.0,0.1,0.9,0.8200000000000001,0.4689955935892812,27.38,11.9,56.00000000000001
TSP Oracle,500x500/N=50,201,500,50,0.02,0.0,0.04,0.94,0.8855999999999999,0.38254266919774566,17.0,11.86,50.0
DQN,500x500/N=50,202,500,50,0.0,0.0,0.04,0.96,0.9232,0.24229218908241482,0.0,11.96,16.0
Relational RL,500x500/N=50,202,500,50,0.0,0.0,0.12,0.88,0.7888,0.5293608652873644,29.26,11.88,46.0
TSP Oracle,500x500/N=50,202,500,50,0.02,0.0,0.02,0.96,0.9224,0.28229218908241477,25.42,11.88,50.0
DQN,500x500/N=50,203,500,50,0.0,0.0,0.1,0.9,0.8200000000000001,0.4689955935892812,0.0,11.9,24.0
Relational RL,500x500/N=50,203,500,50,0.0,0.0,0.14,0.86,0.7591999999999999,0.584238811642856,29.84,11.86,60.0
TSP Oracle,500x500/N=50,203,500,50,0.0,0.0,0.1,0.9,0.8200000000000001,0.4689955935892812,34.02,11.9,82.0
DQN,500x500/N=50,204,500,50,0.0,0.0,0.04,0.96,0.9232,0.24229218908241482,0.0,11.96,26.0
Relational RL,500x500/N=50,204,500,50,0.0,0.0,0.18,0.82,0.7047999999999999,0.6800770457282799,25.92,11.82,54.0
TSP Oracle,500x500/N=50,204,500,50,0.0,0.04,0.1,0.86,0.7512,0.7050756912421843,23.66,11.78,80.0
DQN,500x500/N=50,205,500,50,0.0,0.02,0.02,0.96,0.9224,0.28229218908241477,0.0,11.92,20.0
Relational RL,500x500/N=50,205,500,50,0.0,0.06,0.14,0.8,0.6632000000000001,0.898186274733501,23.64,11.68,52.0
TSP Oracle,500x500/N=50,205,500,50,0.04,0.02,0.06,0.88,0.78,0.7044586153306338,27.02,11.68,82.0
DQN,500x500/N=50,206,500,50,0.0,0.02,0.06,0.92,0.8504,0.46708144015900344,0.0,11.88,38.0
Relational RL,500x500/N=50,206,500,50,0.0,0.02,0.18,0.8,0.6728000000000001,0.8157272136052185,19.9,11.76,48.0
TSP Oracle,500x500/N=50,206,500,50,0.02,0.0,0.1,0.88,0.7847999999999999,0.6073635558851669,18.8,11.8,64.0
DQN,500x500/N=50,207,500,50,0.0,0.0,0.06,0.94,0.8872,0.32744491915447627,0.0,11.94,18.0
Relational RL,500x500/N=50,207,500,50,0.0,0.02,0.1,0.88,0.7847999999999999,0.6073635558851669,16.56,11.84,56.00000000000001
TSP Oracle,500x500/N=50,207,500,50,0.02,0.0,0.1,0.88,0.7847999999999999,0.6073635558851669,27.66,11.8,72.0
DQN,500x500/N=50,208,500,50,0.0,0.0,0.06,0.94,0.8872,0.32744491915447627,0.0,11.94,18.0
Relational RL,500x500/N=50,208,500,50,0.0,0.02,0.1,0.88,0.7847999999999999,0.6073635558851669,35.72,11.84,66.0
TSP Oracle,500x500/N=50,208,500,50,0.0,0.06,0.14,0.8,0.6632000000000001,0.898186274733501,24.92,11.68,78.0
DQN,500x500/N=50,209,500,50,0.0,0.0,0.0,1.0,1.0,-0.0,0.0,12.0,28.000000000000004
Relational RL,500x500/N=50,209,500,50,0.0,0.02,0.1,0.88,0.7847999999999999,0.6073635558851669,30.28,11.84,52.0
TSP Oracle,500x500/N=50,209,500,50,0.02,0.02,0.16,0.8,0.6664000000000001,0.9063137138648347,25.36,11.68,76.0
